,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
71,06/10/12,Bastia,Troyes,3,2,H,1.75,3.4,5.0,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
72,06/10/12,Lille,Ajaccio,2,0,H,1.4,4.33,8.5,-2,0,-200,-200,7,10,-200,-200,-200.0,20,False
73,06/10/12,Montpellier,Evian Thonon Gaillard,2,3,A,1.67,3.5,5.5,0,-1,-200,-200,8,8,-200,-200,-200.0,20,False
74,06/10/12,Reims,Nice,3,1,H,2.2,3.1,3.5,3,5,1,-1,11,14,8,8,2.5500000000000003,20,False
75,06/10/12,Sochaux,Rennes,0,1,A,3.1,3.1,2.38,-200,-200,-2,-1,-200,-200,7,10,-200.0,20,False
76,06/10/12,Toulouse,Valenciennes,2,2,D,1.83,3.25,4.75,2,2,-200,-200,12,13,-200,-200,-200.0,20,False
77,07/10/12,Brest,Bordeaux,1,1,D,3.75,3.0,2.15,-200,-200,4,4,-200,-200,13,14,-200.0,20,False
78,07/10/12,Lorient,Lyon,1,1,D,2.8,3.1,2.6,-200,-200,5,5,-200,-200,14,15,-200.0,20,False
79,07/10/12,Marseille,Paris SG,2,2,D,3.0,3.2,2.4,5,5,9,9,18,19,15,16,-0.1499999999999999,20,False
80,19/10/12,Bordeaux,Lille,1,1,D,2.25,3.0,3.5,4,4,0,0,14,15,10,11,4.0,20,False
81,20/10/12,Evian Thonon Gaillard,Toulouse,0,4,A,2.63,3.1,2.8,-200,-200,2,6,-200,-200,13,16,-200.0,20,False
82,20/10/12,Nancy,Sochaux,1,1,D,1.91,3.2,4.33,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
83,20/10/12,Nice,St Etienne,1,1,D,2.8,3.1,2.6,-1,-1,8,8,8,9,11,12,-5.7,20,False
84,20/10/12,Paris SG,Reims,1,0,H,1.2,6.5,13.0,9,10,5,4,16,19,14,14,2.9000000000000004,20,False
85,20/10/12,Rennes,Montpellier,2,1,H,2.2,3.25,3.3,-1,0,-1,-2,10,13,8,8,1.1,20,False
86,20/10/12,Valenciennes,Lorient,6,1,H,2.1,3.2,3.6,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
87,21/10/12,Ajaccio,Bastia,0,0,D,2.3,3.2,3.2,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
88,21/10/12,Lyon,Brest,1,0,H,1.33,5.0,9.0,5,6,-200,-200,15,18,-200,-200,-200.0,20,False
89,21/10/12,Troyes,Marseille,1,0,H,5.0,3.5,1.73,-200,-200,5,4,-200,-200,19,19,-200.0,20,False
90,26/10/12,St Etienne,Rennes,2,0,H,2.05,3.1,4.0,8,10,0,-2,12,15,13,13,3.05,20,False
91,27/10/12,Lille,Valenciennes,2,1,H,1.57,3.6,6.5,0,1,-200,-200,11,14,-200,-200,-200.0,20,False
92,27/10/12,Montpellier,Nice,3,1,H,1.7,3.5,5.25,-2,0,-1,-3,8,11,9,9,-1.0,20,False
93,27/10/12,Nancy,Paris SG,0,1,A,7.5,3.75,1.5,-200,-200,10,11,-200,-200,19,22,-200.0,20,False
94,27/10/12,Reims,Troyes,1,1,D,1.75,3.4,5.0,4,4,-200,-200,14,15,-200,-200,-200.0,20,False
95,27/10/12,Toulouse,Brest,3,1,H,1.5,3.75,7.5,6,8,-200,-200,16,19,-200,-200,-200.0,20,False
96,28/10/12,Bastia,Bordeaux,3,1,H,2.8,3.1,2.6,-200,-200,4,2,-200,-200,15,15,-200.0,20,False
97,28/10/12,Lorient,Ajaccio,4,4,D,1.75,3.4,5.0,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
98,02/11/12,Brest,Lorient,2,0,H,3.1,3.1,2.4,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
99,03/11/12,Evian Thonon Gaillard,Lille,0,2,A,3.6,3.2,2.1,-200,-200,1,3,-200,-200,14,17,-200.0,20,False
100,03/11/12,Nice,Nancy,2,1,H,2.0,3.2,4.0,-3,-2,-200,-200,9,12,-200,-200,-200.0,20,False
101,03/11/12,Paris SG,St Etienne,1,2,A,1.44,4.2,7.5,11,10,10,11,22,22,15,18,4.300000000000001,20,False
