,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
151,04/12/2018,Montpellier,Lille,0,1,A,2.1,3.2,3.75
152,04/12/2018,Nice,Angers,0,0,D,2.0,3.2,4.2
153,05/12/2018,Bordeaux,St Etienne,3,2,H,2.5,3.1,3.1
154,05/12/2018,Caen,Nimes,1,2,A,2.8,3.1,2.75
155,05/12/2018,Dijon,Guingamp,2,1,H,2.25,3.25,3.4
156,05/12/2018,Lyon,Rennes,0,2,A,1.53,4.2,6.5
157,05/12/2018,Nantes,Marseille,3,2,H,3.1,3.3,2.35
158,05/12/2018,Reims,Toulouse,0,1,A,1.95,3.2,4.5
159,05/12/2018,Strasbourg,Paris SG,1,1,D,8.0,5.75,1.33
160,08/12/2018,Guingamp,Amiens,1,2,A,2.0,3.2,4.2
161,08/12/2018,Rennes,Dijon,2,0,H,1.57,3.8,6.5
162,09/12/2018,Lille,Reims,1,1,D,1.8,3.4,5.0
163,09/12/2018,Strasbourg,Caen,2,2,D,1.75,3.5,5.25
164,15/12/2018,Reims,Strasbourg,2,1,H,2.25,3.1,3.5
165,16/12/2018,Lyon,Monaco,3,0,H,1.44,4.75,7.0
166,16/12/2018,Nice,St Etienne,1,1,D,2.25,3.1,3.5
167,16/12/2018,Nimes,Lille,2,3,A,2.5,3.0,3.2
168,18/12/2018,Caen,Toulouse,2,1,H,2.5,3.1,3.1
169,22/12/2018,Angers,Marseille,1,1,D,3.75,3.4,2.04
170,22/12/2018,Lille,Toulouse,1,2,A,1.72,3.5,5.5
171,22/12/2018,Monaco,Guingamp,0,2,A,1.9,3.5,4.33
172,22/12/2018,Montpellier,Lyon,1,1,D,3.3,3.3,2.25
173,22/12/2018,Paris SG,Nantes,1,0,H,1.14,9.0,15.0
174,22/12/2018,Reims,Caen,2,2,D,1.8,3.5,4.75
175,22/12/2018,Rennes,Nimes,4,0,H,1.83,3.5,4.5
176,22/12/2018,St Etienne,Dijon,3,0,H,1.53,4.33,6.0
177,22/12/2018,Strasbourg,Nice,2,0,H,2.37,3.2,3.1
178,23/12/2018,Bordeaux,Amiens,1,1,D,1.61,3.75,6.0
179,08/01/2019,Amiens,Angers,0,0,D,3.2,3.0,2.4
180,08/01/2019,Nantes,Montpellier,2,0,H,2.6,3.1,2.9
181,11/01/2019,Caen,Lille,1,3,A,3.8,3.25,2.1
182,11/01/2019,Lyon,Reims,1,1,D,1.45,4.5,7.5
183,12/01/2019,Amiens,Paris SG,0,3,A,17.0,7.5,1.16
184,12/01/2019,Guingamp,St Etienne,0,1,A,2.87,3.2,2.5
185,12/01/2019,Nice,Bordeaux,1,0,H,2.2,3.2,3.6
