,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG
81,05/10/13,Guingamp,Rennes,2.0,0.0,H,2.15,3.1,3.6,0.0,2.0,1.0,-1.0,8.0,11.0,12.0,12.0
82,05/10/13,Lille,Ajaccio,3.0,0.0,H,1.33,4.75,10.0,4.0,7.0,-3.0,-6.0,14.0,17.0,7.0,7.0
83,05/10/13,Monaco,St Etienne,2.0,1.0,H,1.53,3.75,7.0,10.0,11.0,2.0,1.0,18.0,21.0,13.0,13.0
84,05/10/13,Nantes,Evian Thonon Gaillard,3.0,0.0,H,1.83,3.4,4.5,3.0,6.0,-4.0,-7.0,13.0,16.0,9.0,9.0
85,05/10/13,Toulouse,Nice,1.0,0.0,H,1.95,3.3,4.0,-4.0,-3.0,2.0,1.0,9.0,12.0,14.0,14.0
86,05/10/13,Valenciennes,Reims,1.0,1.0,D,2.2,3.1,3.5,-10.0,-10.0,1.0,1.0,3.0,4.0,11.0,12.0
87,06/10/13,Bordeaux,Sochaux,4.0,1.0,H,1.57,3.6,6.5,-4.0,-1.0,-8.0,-11.0,7.0,10.0,5.0,5.0
88,06/10/13,Marseille,Paris SG,1.0,2.0,A,4.0,3.4,1.91,7.0,6.0,8.0,9.0,17.0,17.0,18.0,21.0
89,06/10/13,Montpellier,Lyon,5.0,1.0,H,2.3,3.2,3.1,-2.0,2.0,5.0,1.0,9.0,12.0,11.0,11.0
90,18/10/13,Nice,Marseille,1.0,0.0,H,2.63,3.1,2.75,1.0,2.0,6.0,5.0,14.0,17.0,17.0,17.0
91,18/10/13,Reims,Toulouse,1.0,2.0,A,2.6,3.1,2.8,1.0,0.0,-3.0,-2.0,12.0,12.0,12.0,15.0
92,19/10/13,Ajaccio,Nantes,0.0,1.0,A,3.1,3.1,2.38,-6.0,-7.0,6.0,7.0,7.0,7.0,16.0,19.0
93,19/10/13,Evian Thonon Gaillard,Guingamp,1.0,2.0,A,2.25,3.2,3.25,-7.0,-8.0,2.0,3.0,9.0,9.0,11.0,14.0
94,19/10/13,Montpellier,Lille,0.0,1.0,A,2.88,3.2,2.5,2.0,1.0,7.0,8.0,12.0,12.0,17.0,20.0
95,19/10/13,Paris SG,Bastia,4.0,0.0,H,1.2,6.0,15.0,9.0,13.0,0.0,-4.0,21.0,24.0,12.0,12.0
